🤠雷蒙影视直播,#genre#
雷蒙影视直播,https://cors.isteed.cc/https://raw.githubusercontent.com/n3rddd/N3RD/master/JN/N3RD/W/CTVThemeSong1.mp4
CrimeTV LIVE,https://cors.isteed.cc/https://raw.githubusercontent.com/n3rddd/N3RD/master/JN/N3RD/W/CTVThemeSong2.mp4
更新日期,https://cors.isteed.cc/https://raw.githubusercontent.com/n3rddd/N3RD/master/JN/N3RD/W/CRIMETVPV1.mkv
2024-10-15,https://cors.isteed.cc/https://raw.githubusercontent.com/n3rddd/N3RD/master/JN/N3RD/W/CRIMETVPV2.mkv
央视频道,#genre#
CCTV1,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000021973/1.m3u8$雷蒙影视•IPV4『线路1』
CCTV1,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000005000265001/1.m3u8$雷蒙影视•IPV4『线路2』
CCTV1,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010011/1.m3u8$雷蒙影视•IPV4『线路3』
CCTV1,http://[2409:8087:74d9:21::6]:80/000000001000PLTV/88888888/224/3221226153/index.m3u8$雷蒙影视•IPV4『线路4』
CCTV1,http://[2409:8087:74d9:21::6]:80/000000001000PLTV/88888888/224/3221226733/index.m3u8$雷蒙影视•IPV4『线路5』
CCTV2,http://[2409:8087:5e00:24::11]:6060/200000001898/460000089800010211/$雷蒙影视•IPV4『线路1』
CCTV2,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000012442/1.m3u8$雷蒙影视•IPV4『线路2』
CCTV2,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000023315/1.m3u8$雷蒙影视•IPV4『线路3』
CCTV2,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000005000031113/1.m3u8$雷蒙影视•IPV4『线路4』
CCTV2,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010211/1.m3u8$雷蒙影视•IPV4『线路5』
CCTV3,http://[2409:8087:1a01:df::4041]:80/TVOD/88888888/224/3221225799/main.m3u8$雷蒙影视•IPV4『线路1』
CCTV3,http://[2409:8087:5e00:24::11]:6060/200000001898/460000089800010212/$雷蒙影视•IPV4『线路2』
CCTV3,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000011218/1.m3u8$雷蒙影视•IPV4『线路3』
CCTV3,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010212/1.m3u8$雷蒙影视•IPV4『线路4』
CCTV3,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010212/index.m3u8$雷蒙影视•IPV4『线路5』
CCTV4,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000002000031664/1.m3u8$雷蒙影视•IPV4『线路1』
CCTV4,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000005000265004/1.m3u8$雷蒙影视•IPV4『线路2』
CCTV4,http://[2409:8087:74d9:21::6]:80/000000001000PLTV/88888888/224/3221226539/index.m3u8$雷蒙影视•IPV4『线路3』
CCTV4,http://[2409:8087:74d9:21::6]:80/000000001000PLTV/88888888/224/3221226652/index.m3u8$雷蒙影视•IPV4『线路4』
CCTV4,http://[2409:8087:74d9:21::6]:80/270000001322/69900158041111100000002173/index.m3u8$雷蒙影视•IPV4『线路5』
CCTV5,http://[2409:8087:5e00:24::10]:6060/200000001898/460000089800010145/main.m3u8$雷蒙影视•IPV4『线路1』
CCTV5,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000004794/1.m3u8$雷蒙影视•IPV4『线路2』
CCTV5,http://[2409:8087:74d9:21::6]:80/000000001000PLTV/88888888/224/3221226365/index.m3u8$雷蒙影视•IPV4『线路3』
CCTV5,http://[2409:8087:74d9:21::6]:80/270000001128/9900000005/index.m3u8$雷蒙影视•IPV4『线路4』
CCTV5,http://[2409:8087:74d9:21::6]:80/270000001128/9900000020/index.m3u8$雷蒙影视•IPV4『线路5』
