🤠电视直播,#genre#
影视直播,http://ali.hlspull.yximgs.com/live/asdfg863678266.flv
CrimeTV LIVE,http://cfss.cc/cdn/hy/11342412.flv
更新日期,http://cfss.cc/cdn/hy/11342427.flv
2024-10-19,http://cfss.cc/cdn/hy/11352909.flv
央卫频道,#genre#
CGTN_英语台,http://182.104.192.98:8180/TV00000000000000000041@HHZT$涛哥直播•IPV4
凤凰电影频道,http://117.114.153.18:8180/TV00000000000000000072@HHZT$涛哥直播•IPV4
咪咕频道,#genre#
🇨🇳央视,#genre#
CCTV1,http://117.114.153.26:8180/TV00000000000000000099@HHZT$涛哥直播•IPV4『线路1』
CCTV1,http://114.55.117.163:8081/iptv/gitv.php?id=CCTV1hd-8M.m3u8&sign=06zcwd$涛哥直播•IPV4『线路2』
CCTV1,http://114.55.117.163:8081/iptv/itv.php?id=CCTV150FPS.m3u8&sign=06zcwd$涛哥直播•IPV4『线路3』
CCTV1,http://222.131.14.146:4000/rtp/239.3.1.129:8008$涛哥直播•IPV4『线路4』
CCTV1,http://58.57.21.166:9901/tsfile/live/0001_1.m3u8?key=txiptv$涛哥直播•IPV4『线路5』
CCTV1,http://124.128.73.58:9901/tsfile/live/0001_1.m3u8?key=txiptv$涛哥直播•IPV4『线路6』
CCTV1,http://110.80.17.38:9901/tsfile/live/0001_1.m3u8?key=txiptv$涛哥直播•IPV4『线路7』
CCTV1,http://117.27.190.42:9998/tsfile/live/23232_1.m3u8?key=txiptv$涛哥直播•IPV4『线路8』
CCTV1,http://171.108.239.99:8181/tsfile/live/1027_1.m3u8?key=txiptv$涛哥直播•IPV4『线路9』
CCTV1,http://123.163.55.234:9901/tsfile/live/0001_1.m3u8?key=txiptv$涛哥直播•IPV4『线路10』
CCTV1,http://114.55.117.163:8081/iptv/itv.php?id=CCTV150FPS.m3u8&sign=ugxuj7$涛哥直播•IPV4『线路11』
CCTV1,http://144.52.199.201:8888/rtp/239.21.1.120:5002$涛哥直播•IPV4『线路12』
CCTV1,http://218.86.140.185:9527/udp/238.255.2.91:5999$涛哥直播•IPV4『线路13』
CCTV1,http://114.55.117.163:8081/iptv/gitv.php?id=CCTV1hd-8M.m3u8&sign=h51x7y$涛哥直播•IPV4『线路14』
CCTV1,http://114.55.117.163:8081/iptv/itv.php?id=CCTV150FPS.m3u8&sign=h51x7y$涛哥直播•IPV4『线路15』
CCTV1,http://223.75.148.190:9901/tsfile/live/0001_1.m3u8?key=txiptv$涛哥直播•IPV4『线路16』
CCTV1,http://112.6.165.112:9901/tsfile/live/0001_1.m3u8?key=txiptv$涛哥直播•IPV4『线路17』
CCTV1,http://182.104.192.98:8180/TV00000000000000000047@HHZT$涛哥直播•IPV4『线路18』
CCTV1,http://223.107.105.100:9901/tsfile/live/0001_1.m3u8?key=txiptv$涛哥直播•IPV4『线路19』
CCTV1,http://183.223.157.33:9901/tsfile/live/0001_1.m3u8?key=txiptv$涛哥直播•IPV4『线路20』
CCTV1,http://117.114.153.18:8180/TV00000000000000000099@HHZT$涛哥直播•IPV4『线路21』
CCTV1,http://116.226.15.239:9901/tsfile/live/0001_1.m3u8?key=txiptv$涛哥直播•IPV4『线路22』
CCTV1,http://114.55.117.163:8081/iptv/itv.php?id=CCTV150FPS.m3u8&sign=06zcwd$涛哥直播•IPV4『线路23』
CCTV1,http://119.164.81.193:9901/tsfile/live/0001_1.m3u8?key=txiptv$涛哥直播•IPV4『线路24』
CCTV1,http://114.55.117.163:8081/iptv/itv.php?id=CCTV150FPS.m3u8&sign=fk3aks$涛哥直播•IPV4『线路25』
CCTV1,http://58.245.97.28:9901/tsfile/live/0001_1.m3u8?key=txiptv$涛哥直播•IPV4『线路26』
CCTV1,http://36.135.52.57:9901/tsfile/live/0001_1.m3u8?key=txiptv$涛哥直播•IPV4『线路27』
CCTV2,http://117.114.153.18:8180/TV00000000000000000140@HHZT$涛哥直播•IPV4『线路1』
CCTV2,http://114.55.117.163:8081/iptv/itv.php?id=CCTV250FPS.m3u8&sign=06zcwd$涛哥直播•IPV4『线路2』
CCTV2,http://222.131.14.146:4000/rtp/239.3.1.60:8084$涛哥直播•IPV4『线路3』
CCTV2,http://58.57.21.166:9901/tsfile/live/0002_1.m3u8?key=txiptv$涛哥直播•IPV4『线路4』
CCTV2,http://124.128.73.58:9901/tsfile/live/0002_1.m3u8?key=txiptv$涛哥直播•IPV4『线路5』
CCTV2,http://110.80.17.38:9901/tsfile/live/0002_1.m3u8?key=txiptv$涛哥直播•IPV4『线路6』
CCTV2,http://117.27.190.42:9998/tsfile/live/23233_1.m3u8?key=txiptv$涛哥直播•IPV4『线路7』
CCTV2,http://219.159.147.195:9901/tsfile/live/1019_1.m3u8?key=txiptv$涛哥直播•IPV4『线路8』
CCTV2,http://123.163.55.234:9901/tsfile/live/0002_1.m3u8?key=txiptv$涛哥直播•IPV4『线路9』
CCTV2,http://171.108.239.99:8181/tsfile/live/1028_1.m3u8?key=txiptv$涛哥直播•IPV4『线路10』
CCTV2,http://222.241.154.37:9901/tsfile/live/23002_1.m3u8?key=txiptv$涛哥直播•IPV4『线路11』
CCTV2,http://114.55.117.163:8081/iptv/itv.php?id=CCTV250FPS.m3u8&sign=ugxuj7$涛哥直播•IPV4『线路12』
CCTV2,http://144.52.199.201:8888/rtp/239.21.1.151:5002$涛哥直播•IPV4『线路13』
CCTV2,http://218.86.140.185:9527/udp/238.255.2.11:5999$涛哥直播•IPV4『线路14』
CCTV2,http://114.55.117.163:8081/iptv/itv.php?id=CCTV250FPS.m3u8&sign=h51x7y$涛哥直播•IPV4『线路15』
CCTV2,http://112.6.165.112:9901/tsfile/live/0002_1.m3u8?key=txiptv$涛哥直播•IPV4『线路16』
CCTV2,http://113.25.208.15:9901/tsfile/live/0002_1.m3u8?key=txiptv$涛哥直播•IPV4『线路17』
